step,mean_reward,kl,response_length,grad_norm,loss
0,0,7.910372914921027e-06,73,0.0038296908605843782,3.1641491204936756e-07
1,0,0.09612075239419937,57.125,0.4892006516456604,0.00384482997469604
2,0,0.05526817962527275,76.125,0.4445659816265106,0.002210726961493492
3,0,0.04159025475382805,95.625,0.27976006269454956,0.0016636099899187684
4,0,0.06690602749586105,97.5,0.45151814818382263,0.0026762408670037985
5,0,0.06694473326206207,113,0.6341521143913269,0.0026777887251228094
6,0,0.06203208863735199,50.75,0.4070100486278534,0.002481283852830529
7,0,0.12877370417118073,26.875,0.7758568525314331,0.0051509481854736805
8,0,0.08959456533193588,42.625,0.48791733384132385,0.0035837821196764708
9,0,0.15199889242649078,35.5,0.7401394844055176,0.006079955492168665
10,0,0.19060125946998596,23.25,0.7236720323562622,0.007624051999300718
11,0,0.04621592536568642,56,0.27842870354652405,0.0018486372428014874
12,0,0.1260296255350113,58.75,0.40335583686828613,0.005041184369474649
13,0,0.12484851479530334,67.625,0.4785993695259094,0.0049939402379095554
14,0,0.17461591958999634,85.375,0.7411978840827942,0.006984636653214693
15,0,0.08941735327243805,86.25,11544.5224609375,0.003576694056391716
16,0,0.11477842181921005,120.25,0.3397575318813324,0.004591136705130339
17,0,0.14441457390785217,86.625,0.3520565927028656,0.0057765827514231205
18,0,0.13055521249771118,61.25,0.3105703890323639,0.005222208332270384
19,0,0.13348348438739777,67.75,1.1681503057479858,0.005339338444173336
20,0,0.08879870176315308,71.875,0.2322358787059784,0.003551947884261608
21,0,0.09613039344549179,80.75,0.3094877600669861,0.003845215542241931
22,0,0.11415442079305649,66.875,0.31015095114707947,0.004566177260130644
23,0,0.1336705982685089,62.375,0.541119396686554,0.005346824415028095
24,0,0.12089722603559494,62.75,0.43803101778030396,0.004835888743400574
25,0,0.1532672792673111,34.625,1.7209327220916748,0.006130691152065992
27,0,0.12212342023849487,45.25,0.5612682700157166,0.004884937312453985
28,0,0.1474572867155075,39,1.039435863494873,0.00589829171076417
29,0,0.11524328589439392,40.5,0.35552293062210083,0.004609731025993824
30,0,0.10427755862474442,70.5,0.35446926951408386,0.004171102307736874
31,0,0.10446267575025558,88.875,0.34426647424697876,0.004178506787866354
32,0,0.10399182885885239,71,0.3694751560688019,0.00415967358276248
33,0,0.0949586033821106,93.625,0.4806773066520691,0.003798344172537327
34,0,0.06709263473749161,81.25,0.2896472215652466,0.0026837049517780542
35,0,0.11787354201078415,77.875,0.7873883247375488,0.00471494160592556
36,0,0.09984788298606873,94.5,0.4318808317184448,0.003993914928287268
37,0,0.12390793859958649,94.875,0.3464551270008087,0.004956317134201527
38,0,0.13224530220031738,92.25,0.3063388764858246,0.0052898116409778595
39,0,0.11796893179416656,72,0.2968559265136719,0.004718756768852472
40,0,0.09597421437501907,100.375,0.27774903178215027,0.0038389682304114103
41,0,0.132501021027565,83.375,0.5825693607330322,0.005300040822476149
42,0,0.11951002478599548,87,0.3350816071033478,0.004780401010066271
43,0,0.1143835186958313,109.625,0.2729664444923401,0.0045753405429422855
44,0,0.14698411524295807,124.125,0.4207325279712677,0.005879364442080259
45,0,0.09927254170179367,102.375,0.3467397689819336,0.003970901481807232
46,0,0.10596545785665512,90.125,0.2786971628665924,0.0042386180721223354
47,0,0.09201275557279587,100.625,0.21404807269573212,0.003680510213598609
48,0,0.08659151941537857,96.625,0.28509390354156494,0.0034636605996638536
49,0,0.06342010200023651,54.5,0.4611612558364868,0.0025368039496243
50,0,0.1330452561378479,88.125,0.3550054728984833,0.005321810487657785
51,0,0.07123710215091705,90.25,0.17016011476516724,0.002849484095349908
52,0,0.024345623329281807,105.625,0.07499172538518906,0.0009738249354995787
53,0,0.08152327686548233,93.125,0.26023629307746887,0.003260931232944131
54,0,0.10866435617208481,100.25,0.2062976360321045,0.004346574191004038
55,0,0.07131858170032501,92.25,0.2587737739086151,0.0028527432586997747
56,0,0.06319016218185425,73.125,0.35309502482414246,0.002527606673538685
57,0,0.10115896165370941,98,0.22522008419036865,0.00404635863378644
58,0,0.0677754133939743,74,0.25511711835861206,0.002711016219109297
59,0,0.08684644103050232,69.375,0.24137340486049652,0.003473857417702675
60,0,0.07361636310815811,88.625,0.16398872435092926,0.002944654319435358
61,0,0.09557226300239563,75.625,0.317531943321228,0.0038228905759751797
62,0,0.10582771897315979,81.875,0.3454192876815796,0.004233109299093485
63,0.125,0.12318627536296844,51.25,4.730848789215088,0.054917752742767334
64,0,0.1061256155371666,49.375,0.33835262060165405,0.004245024174451828
65,0,0.09933722764253616,58.875,0.2932868003845215,0.003973489161580801
66,0,0.11025568842887878,53.625,0.4029732644557953,0.004410227295011282
67,0,0.08291223645210266,46.125,0.2585185468196869,0.0033164890483021736
68,0,0.07717814296483994,60.125,0.22972522675991058,0.003087125951424241
69,0,0.1054752841591835,70.75,0.36226189136505127,0.004219011403620243
70,0,0.09877599030733109,59.5,1.0783873796463013,0.003951039165258408
72,0,0.11522924154996872,78.25,26.78461265563965,0.004609169438481331
73,0,0.07481608539819717,85.875,0.21763472259044647,0.0029926432762295008
74,0,0.15630683302879333,81.375,0.43756046891212463,0.006252272520214319
75,0,0.18262065947055817,107.875,0.41692301630973816,0.007304825820028782
76,0,0.15217305719852448,112.75,0.31692299246788025,0.006086922716349363
77,0,0.4112357795238495,91.125,7.271381855010986,0.01644943095743656
78,0,0.1479368507862091,114.375,0.7031455636024475,0.005917473696172237
79,0,0.10686144232749939,109.125,0.3200952708721161,0.004274457227438688
80,0,0.15843963623046875,73.5,0.3206787705421448,0.006337585859000683
81,0,0.1268187016248703,79.5,0.36020758748054504,0.00507274828851223
82,0,0.14138971269130707,57.5,0.35193052887916565,0.005655588582158089
83,0,0.158661887049675,71,0.38487809896469116,0.0063464748673141
84,0,0.1275518834590912,93,0.27777576446533203,0.005102074705064297
85,0,0.17875833809375763,96.125,1.5079761743545532,0.0071503338403999805
86,0,0.13923105597496033,66.375,0.37914207577705383,0.0055692424066364765
87,0,0.1088886708021164,76.25,0.8965488076210022,0.004355547018349171
88,0,0.07787428051233292,94.375,0.21893039345741272,0.0031149713322520256
89,0,0.10818949341773987,93.5,0.2865333557128906,0.004327579867094755
90,0,0.1576642096042633,75.75,0.42720818519592285,0.006306568160653114
91,0,0.08319956809282303,61.375,0.2928316295146942,0.0033279825001955032
92,0,0.17145951092243195,98,3.004596710205078,0.006858380511403084
93,0,0.107688769698143,99.75,0.21292191743850708,0.004307550378143787
94,0,0.25398018956184387,63.625,3.7709906101226807,0.0101592056453228
95,0,0.10683578252792358,81.875,0.2709585428237915,0.004273431375622749
96,0,0.10138624906539917,71.125,0.26983070373535156,0.004055449739098549
97,0,0.06255968660116196,96.625,0.20992442965507507,0.0025023873895406723
98,0,0.06602034717798233,64.875,0.22219102084636688,0.002640813821926713
99,0,0.10994898527860641,80.25,0.26010358333587646,0.004397958982735872
