step,mean_reward,kl,response_length,grad_norm,loss
0,0.1875,7.910372914921027e-06,73,8.092323303222656,-6.07028414378874e-06
1,0.125,0.00016896860324777663,61.375,6.491946697235107,0.09876510500907898
2,0.1875,0.0024194633588194847,102.375,8.097183227539062,0.10446030646562576
3,0.25,0.006325955968350172,62.875,9.561190605163574,-0.10473555326461792
4,0.3125,0.006593146361410618,83.125,7.932820796966553,0.13579441606998444
5,0.5,0.007738247513771057,69,7.672253608703613,0.09678913652896881
6,0.4375,0.01635207049548626,85,8.324576377868652,0.13147729635238647
7,0.5,0.03062210977077484,70.5,9.870437622070312,0.31412890553474426
8,0.375,0.020787399262189865,64,8.7977294921875,0.0008315842133015394
9,0.625,0.033388860523700714,68,7.935948848724365,0.02679361402988434
10,0.4375,0.03935263678431511,58.75,11.762295722961426,0.003594381734728813
11,0.6875,0.042250294238328934,56,5.155062198638916,-0.03624125197529793
12,0.875,0.029569588601589203,76.25,4.4074554443359375,-0.05132834613323212
13,0.8125,0.05119162052869797,52,10.31517219543457,0.07892238348722458
14,0.6875,0.03408695012331009,74.375,5.786540508270264,0.09964562952518463
15,0.875,0.058281946927309036,68.5,4.5620574951171875,0.21396759152412415
16,0.8125,0.06779354810714722,54.375,7.201932430267334,0.04232114553451538
17,1,0.059643615037202835,53.625,0.5134055018424988,0.0023857445921748877
18,0.9375,0.08241772651672363,56.75,7.477199077606201,0.10347714275121689
19,1,0.05414611101150513,62.125,0.3241482079029083,0.0021658441983163357
20,0.875,0.079364113509655,64.125,9.506725311279297,-0.13030019402503967
21,0.875,0.10392331331968307,54.875,13.038962364196777,0.1100371778011322
22,0.8125,0.06966035813093185,61.75,10.322149276733398,0.2881377637386322
23,0.9375,0.12149198353290558,47.75,7.052829265594482,0.22728359699249268
24,0.875,0.07603613287210464,57,13.142217636108398,0.257325679063797
25,0.8125,0.13137853145599365,44.25,9.584614753723145,-0.2347821444272995
26,0.9375,0.07305999845266342,55,8.583854675292969,-0.00616493122652173
27,0.9375,0.11722327768802643,47.5,9.031076431274414,-0.06502018123865128
28,0.875,0.1894731968641281,38.25,9.284440040588379,0.017380904406309128
29,1,0.21382048726081848,32.25,1.0215531587600708,0.008552820421755314
30,0.875,0.0860404446721077,61.875,9.421295166015625,-0.02887505479156971
31,1,0.05871282145380974,60.25,0.3421904742717743,0.0023485131096094847
32,0.875,0.0891801044344902,56.75,6.6158294677734375,-0.19463123381137848
33,0.8125,0.05607328563928604,66.375,8.30133056640625,0.10013209283351898
34,1,0.06387819349765778,57.125,0.4195132255554199,0.002555127488449216
35,0.625,0.12005168944597244,58.375,12.341813087463379,0.07711883634328842
36,0.875,0.061853840947151184,62.5,10.821328163146973,0.22143074870109558
37,0.875,0.09741054475307465,53.625,7.965853214263916,-0.13826605677604675
38,1,0.09657355397939682,49.375,0.5074895024299622,0.003862942336127162
39,0.9375,0.12799261510372162,35.625,10.501855850219727,-0.09659399092197418
40,1,0.09468457102775574,45.625,0.5028038620948792,0.00378738297149539
41,1,0.08479589968919754,51.625,0.6549577713012695,0.0033918358385562897
42,1,0.11631059646606445,47.875,0.6130807399749756,0.004652423784136772
43,1,0.08311881124973297,43.375,0.5484330058097839,0.0033247526735067368
44,0.75,0.12050703167915344,47.125,13.515199661254883,0.0406220369040966
45,0.9375,0.12324882298707962,52.125,6.563632011413574,-0.16047155857086182
46,0.9375,0.07986872643232346,55.75,12.404766082763672,0.163444384932518
47,0.75,0.07298240065574646,90.625,11.260076522827148,0.20908480882644653
48,0.875,0.07169929891824722,65.375,7.469019889831543,0.15962454676628113
49,0.75,0.07008090615272522,80,11.323465347290039,0.3027433753013611
50,0.875,0.04837336391210556,78,9.603310585021973,0.13171681761741638
51,0.9375,0.09533713757991791,55,9.42663860321045,0.1298995167016983
52,0.875,0.05564350634813309,66.125,16.60457420349121,0.08767584711313248
53,0.875,0.041652414947748184,68.25,5.743890762329102,0.183864027261734
54,0.75,0.06010986864566803,58.875,6.1650309562683105,-0.08338499069213867
55,0.875,0.10037003457546234,64.875,8.302325248718262,-0.012962440960109234
56,1,0.03487982228398323,62.5,0.25911593437194824,0.0013951928121969104
57,1,0.026768174022436142,58.625,0.18697109818458557,0.0010707268957048655
58,0.8125,0.06658640503883362,54.25,11.001302719116211,0.1569858342409134
59,0.875,0.05683756247162819,50.5,6.8618855476379395,-0.11156509071588516
60,0.6875,0.059064000844955444,59.5,7.823251724243164,0.1028316393494606
62,0.875,0.08287281543016434,50.75,10.253387451171875,0.018090642988681793
63,1,0.055906906723976135,55.375,0.3768852651119232,0.002236276399344206
64,0.875,0.06089124456048012,65.5,9.631490707397461,0.1588926762342453
65,0.875,0.07508579641580582,50.125,6.43930196762085,-0.03688885644078255
66,0.875,0.0658544972538948,50.875,8.297340393066406,0.3330349326133728
67,0.9375,0.06589042395353317,49.125,5.660981178283691,-0.05840875208377838
68,1,0.04708375036716461,50.25,0.30300530791282654,0.0018833500798791647
70,0.75,0.09436063468456268,40.875,14.92605972290039,-0.0741916373372078
71,0.875,0.0868268683552742,40.125,8.307147979736328,-0.015214680694043636
72,1,0.0818391963839531,37.125,0.45341214537620544,0.003273567883297801
73,0.8125,0.1406668722629547,32.5,12.585509300231934,-0.06360543519258499
74,0.875,0.05856381729245186,51.5,10.822856903076172,0.3578539490699768
75,0.875,0.09731002897024155,41.75,8.188935279846191,-0.03502180799841881
76,0.6875,0.10134171694517136,49.75,11.676008224487305,0.16458341479301453
77,1,0.08088235557079315,35.75,0.47750499844551086,0.0032352942507714033
79,1,0.09808710962533951,36.875,0.5899719595909119,0.003923484589904547
80,0.875,0.10199026018381119,35.375,11.731796264648438,0.0959341898560524
81,1,0.08556388318538666,37.375,0.5809922814369202,0.0034225552808493376
82,1,0.06446432322263718,47.875,0.3784712255001068,0.0025785728357732296
83,0.9375,0.07915491610765457,37,7.2320356369018555,-0.06944015622138977
84,0.875,0.03982029855251312,48.5,10.646062850952148,0.37265250086784363
85,0.875,0.06190616637468338,41.25,9.267485618591309,-0.05963249132037163
86,1,0.08169235289096832,40.125,1.0081363916397095,0.0032676944974809885
87,1,0.09935921430587769,34.375,0.5553524494171143,0.003974368330091238
88,1,0.04773983359336853,47.5,0.28670141100883484,0.001909593353047967
89,0.8125,0.05267000570893288,60.75,13.649053573608398,0.09468577802181244
90,1,0.06599509716033936,49.5,0.2603009045124054,0.002639804035425186
91,1.125,0.03235041722655296,62.875,5.048869609832764,-0.015601256862282753
92,0.875,0.05817098543047905,53,14.125420570373535,0.31358516216278076
93,0.875,0.04638410359621048,67.125,7.646284580230713,-0.027933653444051743
94,0.75,0.0793147012591362,54.875,8.7002534866333,0.06826111674308777
95,0.875,0.09333376586437225,57,7.586804389953613,0.09801293909549713
96,0.875,0.08051831275224686,56.75,11.008645057678223,0.2575750946998596
97,1,0.0373024120926857,67.125,0.20308059453964233,0.0014920965768396854
98,1,0.07538054883480072,58.375,2.4218757152557373,0.003015221795067191
99,0.9375,0.05695754662156105,53.75,5.757621765136719,0.10107576102018356
